"","YEAR","SEASON","BOX","ELEVATION","NEST.TYPE","NEST.ID","M.RFID","M.ID","M.TOIC","F.RFID","F.ID","F.TOIC","FIRST.EGG","J.FIRST.EGG","CLUTCH","BROOD","MEANMASS","CV","NOTES"
"131",2015,"14_15","65","L","INITIAL","N_226","","","","","","","5/26/2015",146,6,6,NA,NA,"PREDATED"
"132",2015,"14_15","67","L","INITIAL","N_227","0300038D22","B_234","6/22/2015","0700EE1214","B_132","11/19/2014","5/21/2015",141,5,4,12.6275,0.04569136,""
"133",2015,"14_15","68","L","INITIAL","N_228","0700EDACDA","B_114","11/14/2014","030002CF5E","B_247","6/24/2015","5/23/2015",143,6,6,11.89333333,0.036994242,""
"134",2015,"14_15","7","L","INITIAL","N_230","","","","","","","5/15/2015",135,8,6,12.035,0.069959945,""
"135",2015,"14_15","72","L","INITIAL","N_231","","","","","","","5/18/2015",138,5,NA,NA,NA,"PREDATED"
"136",2015,"14_15","73","L","INITIAL","N_232","","","","","","","5/25/2015",145,NA,NA,NA,NA,"PREDATED"
"137",2015,"14_15","74","L","INITIAL","N_233","","","","","","","5/30/2015",150,NA,NA,NA,NA,"PREDATED"
"138",2015,"14_15","77","L","INITIAL","N_234","","","","","","","5/21/2015",141,NA,NA,NA,NA,"PREDATED"
"139",2015,"14_15","78","L","INITIAL","N_235","","","","","","","5/25/2015",145,NA,NA,NA,NA,"PREDATED"
"140",2015,"14_15","79","L","INITIAL","N_236","","","","","","","6/2/2015",153,NA,NA,NA,NA,"PREDATED"
"141",2015,"14_15","80","L","INITIAL","N_237","","","","","","","5/14/2015",134,NA,NA,NA,NA,"PREDATED"
"142",2015,"14_15","82","L","INITIAL","N_238","0700EE243D","B_280","7/1/2015","0300022151","B_281","7/1/2015","5/30/2015",150,7,5,10.088,0.153801949,""
"143",2015,"14_15","86","L","INITIAL","N_239","0700EDDEED","B_128","11/19/2014","0700EE2D2F","B_301","7/4/2015","6/1/2015",152,5,4,10.1275,0.075165984,""
"144",2015,"14_15","9","L","INITIAL","N_241","0300023AA1","B_292","7/2/2015","0300020B2F","B_293","7/2/2015","5/18/2015",138,7,5,11.948,0.062406592,""
"145",2015,"14_15","95","L","INITIAL","N_242","03000321CC","B_283","7/1/2015","030001EC87","B_273","6/30/2015","5/31/2015",151,6,5,10.684,0.079179069,""
"146",2015,"14_15","IC10","L","INITIAL","N_253","","","","","","","5/25/2015",145,NA,NA,NA,NA,"PREDATED"
"147",2015,"14_15","IF1A","L","INITIAL","N_254","","","","","","","5/8/2015",128,6,5,13.07,0.028867099,""
"148",2015,"14_15","IF2","L","INITIAL","N_255","","","","","","","5/17/2015",137,5,4,12.8875,0.060554843,""
"149",2015,"14_15","IF2A","L","INITIAL","N_256","","","","","","","5/17/2015",137,8,NA,NA,NA,"ABANDONED"
"150",2015,"14_15","IF3","L","INITIAL","N_257","","","","","","","5/28/2015",148,6,NA,NA,NA,"ABANDONED"
"151",2015,"14_15","IF4","L","INITIAL","N_258","","","","","","","5/28/2015",148,4,NA,NA,NA,"PREDATED"
"152",2015,"14_15","IF5","L","INITIAL","N_259","","","","","","","5/7/2015",127,8,6,12.80166667,0.063825918,""
"153",2015,"14_15","IF6","L","INITIAL","N_260","","","","","","","5/13/2015",133,6,6,12.16833333,0.058064868,""
"154",2016,"15_16","1","L","INITIAL","N_263","0700EE1C15","B_674","6/21/2016","03000328BB","B_233","6/22/2015","5/19/2016",140,9,9,12.6366666666667,0.0480935152828328,""
"155",2016,"15_16","13","L","INITIAL","N_266","0700EE43B8","B_424","9/18/2015","0700ED97FC","B_367","9/4/2015","5/15/2016",136,8,NA,NA,NA,"Not in nestling banding data. On D2 8N so maybe predated?"
"156",2016,"15_16","15","L","INITIAL","N_269","0700EDFD3A","B_429","9/18/2015","030001FBB1","B_122","11/14/2014","5/18/2016",139,8,NA,NA,NA,"Not in nestling banding data. On D1 2N eggs hatched so maybe predated?"
"157",2016,"15_16","16","L","INITIAL","N_270","0700EDCBDC","B_237","6/22/2015","0700EE048B","B_694","7/1/2016","6/1/2016",153,7,7,11.7885714285714,0.0492499650752651,""
"158",2016,"15_16","21","L","INITIAL","N_276","0700EE0E10","B_87","11/10/2014","0700ED9500","B_691","6/30/2016","5/29/2016",150,8,6,11.61,0.0556872691653561,""
"159",2016,"15_16","23","L","INITIAL","N_280","0700EDFA56","B_68","11/3/2014","0700EDA1AE","B_360","9/4/2015","5/20/2016",141,7,6,12.1916666666667,0.0661362018409116,""
"160",2016,"15_16","27A","L","INITIAL","N_283","0700EE1E3D","B_90","11/10/2014","0700EE2C9F","B_312","8/19/2015","5/19/2016",140,8,8,12.24375,0.0471067136889402,""
"161",2016,"15_16","28","L","INITIAL","N_285","0700EDEA14","B_339","8/24/2015","0700ED8A10","B_3","8/22/2014","5/20/2016",141,8,7,12.6142857142857,0.0310115589269215,""
