"","YEAR","SEASON","BOX","ELEVATION","NEST.TYPE","NEST.ID","M.RFID","M.ID","M.TOIC","F.RFID","F.ID","F.TOIC","FIRST.EGG","J.FIRST.EGG","CLUTCH","BROOD","MEANMASS","CV","NOTES"
"120",2016,"15_16","33-1","H","INITIAL","N_294","0700EE31AE","B_33","9/5/2014","03000223AD","B_288","7/2/2015","6/3/2016",155,6,5,12.72,0.0576022393482067,""
"121",2016,"15_16","34","H","INITIAL","N_295","030003735A","B_107","11/12/2014","0700EDA11E","B_307","7/7/2015","6/5/2016",157,8,8,13.55,0.0396017027487143,""
"122",2016,"15_16","36","H","INITIAL","N_296","0700ED8E2B","B_304","7/6/2015","0700EDB060","B_386","9/7/2015","6/1/2016",153,8,8,12.82625,0.0516556157831271,""
"123",2016,"15_16","4","H","INITIAL","N_299","030002B8FF","B_197","1/1/2015","0700EDF523","B_396","9/7/2015","6/6/2016",158,7,7,11.3671428571429,0.0741424064244523,""
"124",2016,"15_16","41","H","INITIAL","N_302","0700EE1431","B_46","9/5/2014","0700ED918A","B_705","7/6/2016","6/6/2016",158,8,8,13.77125,0.049795135293459,""
"125",2016,"15_16","43-1","H","INITIAL","N_305","0700EDB6EA","B_278","7/1/2015","0700EDA99B","B_704","7/6/2016","6/5/2016",157,8,7,12.6471428571429,0.0396049677235047,""
"126",2016,"15_16","44","H","INITIAL","N_306","0700EDA16F","B_696","7/4/2016","UNBANDED","","","6/3/2016",155,8,7,12.6714285714286,0.0527085731558604,""
"127",2016,"15_16","4A","H","INITIAL","N_311","030001D152","B_86","11/5/2014","0300026CA0","B_245","6/24/2015","5/29/2016",150,7,7,13.06,0.0502023107836416,""
"128",2016,"15_16","7","H","INITIAL","N_321","0700EE2693","B_56","9/19/2014","0700EDE73A","B_436","9/21/2015","6/3/2016",155,6,NA,NA,NA,"DEPREDATED"
"129",2016,"15_16","8A","H","INITIAL","N_331","0700EDDE6B","B_323","8/21/2015","0700EDF8A1","B_244","6/24/2015","6/4/2016",156,8,7,12.65,0.041253412119717,""
"130",2016,"15_16","9A","H","INITIAL","N_335","0700EE2818","B_298","7/4/2015","0700ED9A1A","B_198","1/1/2015","6/5/2016",157,8,8,13.51,0.0489167456493205,""
"131",2016,"15_16","B12","H","INITIAL","N_336","0700EE4471","B_689","6/30/2016","0700EE3453","B_690","6/30/2016","6/1/2016",153,7,7,13.0828571428571,0.0696821518476932,""
"132",2016,"15_16","B17","H","INITIAL","N_337","","","","","","","6/6/2016",158,NA,NA,NA,NA,"abandoned before incubation with 6 eggs. First egg date could be 1 day early."
"133",2016,"15_16","B21","H","INITIAL","N_338","0700EDD51F","B_608","1/24/2016","UNKNOWN","","","6/3/2016",155,7,6,12.9383333333333,0.0492752447191069,""
"134",2016,"15_16","B28","H","INITIAL","N_339","0700EDE460","B_289","7/2/2015","0700EDE04B","B_714","7/9/2016","6/6/2016",158,8,7,12.5685714285714,0.063344150175108,""
"135",2016,"15_16","B31","H","INITIAL","N_340","0700ED8A15","B_700","7/5/2016","0300027217","B_257","6/28/2015","6/5/2016",157,7,6,12.5533333333333,0.0525096545497931,""
"136",2016,"15_16","B32","H","INITIAL","N_341","030003371B","B_260","6/28/2015","0700EDB8AA","B_709","7/6/2016","6/4/2016",156,8,8,12.09,0.0374655524014653,""
"137",2016,"15_16","B5-1","H","INITIAL","N_342","0300025F50","B_80","11/5/2014","030002F09C","B_228","6/18/2015","6/3/2016",155,7,7,13.2857142857143,0.0579958441650521,""
"138",2017,"16_17","1","H","INITIAL","N_347","0700EDBFAD","B_738","11/9/2016","011017987F","B_958","7/13/2017","6/7/2017",158,NA,NA,NA,NA,"DEPREDATED BEFORE CLUTCH COMPLETE MOVED TO BOX 5 H WHICH WAS DEPREDATED POST HATCHING"
"139",2017,"16_17","1-1","H","INITIAL","N_348","030001CC84","B_21","8/29/2014","","","","6/10/2017",161,NA,NA,NA,NA,"DEPREDATED BEFORE CLUTCH COMPLETE"
"140",2017,"16_17","10","H","INITIAL","N_350","","","","","","","6/9/2017",160,NA,NA,NA,NA,"DEPREDATED BEFORE CLUTCH COMPLETE"
"141",2017,"16_17","12","H","INITIAL","N_352","","","","","","","6/22/2017",173,NA,NA,NA,NA,"EGGS ABANDONED BEFORE CLUTCH COMPLETE"
"142",2017,"16_17","13","H","INITIAL","N_353","0110172346","B_720","10/26/2016","","","","6/6/2017",157,NA,NA,NA,NA,"DEPREDATED BEFORE CLUTCH COMPLETE"
"143",2017,"16_17","15","H","INITIAL","N_355","0700EE20B2","B_250","6/26/2015","UNBANDED","","","6/10/2017",161,NA,NA,NA,NA,"DEPREDATED BEFORE CLUTCH COMPLETE"
